manufacturer,Cereal,energy_(kJ),calories_(kcal),protein_(g),carbohydrate_(g),sugars_(g),fat_(g),saturates_(g),fibre_(g),sodium_(g),salt_(g),iron_(mg)
Weetabix,Weetos,1594,377,8.4,74.7,23.5,4.9,1,6.2,0.09,0.23,11.9
Kellogg's,Bran Flakes,1383,326,10,67,22,2,0.5,15,0.5,1.3,11.6
Kellogg's,Coco pops,1641,387,5,85,34,3,1.5,2,0.45,1.15,8
Kellogg's,Rice Krispies multi-grain shapes,1569,370,8,77,18,2.5,0.5,8,0.15,0.4,8
Kellogg's,Special K red berries,1586,374,14,76,23,1.5,0.5,3,0.4,1,10.4
Weetabix,Ready Brek,1515,359,11.8,58.5,1,8.7,1.2,7.9,0.1,NA,11.9
Weetabix,Weetabix,1432,338,11.5,68.4,4.4,2,0.6,10,0.26,0.65,11.9
Kellogg's,Corn Flakes,1580,372,7,84,8,0.9,0.2,3,0.7,NA,8
Kellogg's,Frosties,1578,371,4.5,87,37,0.6,0.1,2,0.45,NA,8
Kellogg's,Rice Krispies original,1618,381,6,87,10,1,0.2,1,0.65,NA,8
Nestle,Cheerios,1562,369,8.1,75.2,21.6,3.9,1.1,6.6,0.5,1.2,11.9
Nestle,Shreddies,1491,351,9.9,73.7,15.5,1.9,0.4,9.8,0.3,0.7,7.8
Nestle,Cookie Crisp,1596,377,6.4,80.1,35.3,3.4,1.1,5.2,0.4,NA,11.9
Kellogg's,All-Bran,1184,280,14,48,17,3.5,0.7,27,0.45,NA,8.8
Nestle,Shredded Wheat,1442,340,11.6,67.8,0.9,2.5,0.5,11.8,,NA,NA
Kellogg's,Fruit 'n Fibre,1514,358,8,68,24,6,3.5,10,0.55,NA,8.8
Sainsbury's,Wholegrain Bran Flakes,1414,333,10.3,67.5,17.1,2.5,0.5,14.3,0.74,0.29,14
Nestle,Golden Nuggets,1614,380,6.7,85.8,35.8,1.1,0.3,2.4,0.5,NA,11.9
Nestle,Fitnesse,1541,363,8,79.8,17.1,1.3,0.4,5.1,0.5,1.3,11.9
Kellogg's,Bran Flakes Sultana Bran,1349,318,8,67,33,2,0.5,13,0.5,NA,8.8
Kellogg's,Coco Pops Coco Rocks,1764,418,7,75,32,10,3.5,3,0.35,NA,8
Kellogg's,Crunchy Nut,1681,397,6,82,35,5,0.9,2.5,0.45,NA,8
Weetabix,Oatibix,1591,377,12.5,63.7,3.2,8,1.3,7.3,0.15,0.38,NA
Weetabix,Alpen Original,1521,359,10.8,68,23,4.9,0.7,6.6,0.14,0.35,NA
Weetabix,Alpen no added sugar,1488,352,11.1,65.1,16.3,5.2,0.6,7.8,0.16,0.43,NA
Honey Monster Foods,Sugar Puffs,1608,379,5.3,85.8,35,1.6,0.2,3.7,NA,NA,8
Kellogg's,Special K,1586,374,15,75,17,1.5,0.5,2.5,0.45,NA,11.6
Kellogg's,Frosties Reduced Sugar,1569,369,6,85,25,0.6,0.1,2.5,0.55,NA,7.9
Quaker,Oats,1500,356,11,60,1.1,8,1.5,9,NA,NA,NA
Tesco,Healthy Living Bran Flakes,1405,335,10.2,67,17.1,2.4,0.5,14.1,0.6,NA,14
Jordans,"Crunchy Oats with Raisins, Almond & honey",1722,409,8.7,64.3,28.8,13,2.4,6.7,trace,trace,NA
Jordans,Crunchy Oats with Tropical Fruits,1781,423,8.6,65.5,24.7,14.1,4.1,6.9,trace,trace,NA
Jordans,Crunchy Oats with Special Fruits & Nuts,1720,409,7.6,64.2,32.3,13.5,4.2,6.5,trace,trace,NA
Kellogg's,Coco Pops Moon & Stars,1657,392,7,79,33,4.5,2.5,3.5,0.4,NA,8
Kellogg's,Coco Pops Mega Munchers,1589,375,8,80,34,2.5,1,4.5,0.35,NA,8
Kellogg's,Honey Loops,1539,363,8,76,34,3,0.6,7,0.7,NA,8
Kellogg's,Just Right,1553,366,7,80,22,2,0.4,4,0.5,NA,8.8
Kellogg's,Ricicles,1619,381,4.5,89,37,0.8,0.1,0.8,0.45,NA,8
Asda,Bran Flakes,1357,324,11.7,62.7,16.8,2.5,0.6,16.1,0.27,NA,16.1
Weetabix,Minis Honey & Nut Crisp,1557,368,9.9,70.6,26.8,5.1,1.1,9,0.3,0.75,11.9
Kellogg's,Special K Oats & Honey,1623,383,13,77,24,2.5,0.5,3,0.3,0.75,4.8
Nestle,Coco Shreddies,1585,374,8.5,76.3,28.9,2,0.7,8.6,0.2,0.6,7.2
